ticket_id,router_id,date,complaint_text
T-901,R-1002,8/2/2026,Video calls freeze constantly
T-902,R-1002,7/29/2026,No signal in the corner of the room
T-903,R-1010,8/2/2026,Router restarts on its own multiple times a day
T-904,R-1010,7/26/2026,Router keeps disconnecting during online exam
T-905,R-1010,7/30/2026,Wi-Fi drops every evening during class
T-906,R-1010,8/5/2026,Video calls freeze constantly
T-907,R-1018,8/4/2026,Router keeps disconnecting during online exam
T-908,R-1018,8/3/2026,Router keeps disconnecting during online exam
T-909,R-1018,8/1/2026,Can't connect more than 2 devices
T-910,R-1026,7/27/2026,No signal in the corner of the room
T-911,R-1026,7/28/2026,No signal in the corner of the room
T-912,R-1026,8/5/2026,Wi-Fi drops every evening during class
T-913,R-1034,8/5/2026,Internet extremely slow after 8pm
T-914,R-1034,8/4/2026,Router keeps disconnecting during online exam
T-915,R-1034,7/31/2026,Router restarts on its own multiple times a day
T-916,R-1042,7/27/2026,Wi-Fi drops every evening during class
T-917,R-1042,7/26/2026,"Speed is fine in morning, unusable at night"
T-918,R-1042,8/1/2026,Router keeps disconnecting during online exam
T-919,R-1042,7/25/2026,Internet extremely slow after 8pm
T-920,R-1050,8/4/2026,"Speed is fine in morning, unusable at night"
T-921,R-1050,8/3/2026,Router restarts on its own multiple times a day
T-922,R-1050,7/27/2026,Router restarts on its own multiple times a day
T-923,R-1050,7/28/2026,Wi-Fi drops every evening during class
T-924,R-1058,7/28/2026,Router restarts on its own multiple times a day
T-925,R-1058,8/1/2026,Video calls freeze constantly
T-926,R-1051,8/6/2026,Router keeps disconnecting during online exam
T-927,R-1047,8/3/2026,Internet extremely slow after 8pm
T-928,R-1056,8/4/2026,Router restarts on its own multiple times a day
T-929,R-1020,8/4/2026,"Speed is fine in morning, unusable at night"
T-930,R-1000,7/29/2026,Internet extremely slow after 8pm
